Searches,Filters,Shortlist,Enquiries,Photoclicks,PageView,Result
0,2,0,2,0,1,1
0,1,0,1,0,1,1
0,1,0,0,0,1,1
1,0,1,1,0,1,1
0,0,1,1,0,1,1
4,0,0,1,0,1,1
4,0,0,1,0,1,1
1,0,0,1,1,1,1
1,0,0,1,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
1,0,0,0,0,1,1
0,0,0,3,13,1,1
0,0,0,1,13,1,1
0,0,0,0,11,1,1
0,0,0,1,5,1,1
0,0,0,0,5,1,1
0,0,0,1,3,1,1
0,0,0,1,3,1,1
0,0,0,1,3,1,1
0,0,0,1,3,1,1
0,0,0,1,3,1,1
0,0,0,2,2,1,1
0,0,0,1,2,1,1
0,0,0,1,2,1,1
0,0,0,3,1,1,1
0,0,0,2,1,1,1
0,0,0,2,1,1,1
0,0,0,2,1,1,1
0,0,0,2,1,1,1
0,0,0,2,1,1,1
0,0,0,2,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,1,1,1,1
0,0,0,0,1,1,1
0,0,0,9,0,1,1
0,0,0,6,0,1,1
0,0,0,5,0,1,1
0,0,0,4,0,1,1
0,0,0,4,0,1,1
0,0,0,4,0,1,1
0,0,0,4,0,1,1
0,0,0,4,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,3,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,2,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
0,0,0,1,0,1,1
